"efforts_tuples","selected0","selected1","count","count_normalized"
"[-1,-1,-1,0]_[-1,-1,-1,0]",0,1,471,0.484069886947585
"[-1,-1,-1,0]_[-1,-1,-1,0]",0,2,181,0.186022610483042
"[-1,-1,-1,0]_[-1,-1,-1,0]",1,2,321,0.329907502569373
"[-1,-1,-1,0]_[-1,-1,0,-1]",0,1,2,1
"[-1,-1,-1,0]_[-1,-1,0,-1]",0,2,0,0
"[-1,-1,-1,0]_[-1,-1,0,-1]",1,2,0,0
"[-1,-1,-1,0]_[-1,-1,0,0]",0,1,0,0
"[-1,-1,-1,0]_[-1,-1,0,0]",0,2,2,0.4
"[-1,-1,-1,0]_[-1,-1,0,0]",1,2,3,0.6
"[-1,-1,-1,0]_[-1,-1,0,1]",0,1,3,0.1875
"[-1,-1,-1,0]_[-1,-1,0,1]",0,2,2,0.125
"[-1,-1,-1,0]_[-1,-1,0,1]",1,2,11,0.6875
"[-1,-1,-1,0]_[-1,-1,1,0]",0,1,6,0.31578947368421
"[-1,-1,-1,0]_[-1,-1,1,0]",0,2,6,0.31578947368421
"[-1,-1,-1,0]_[-1,-1,1,0]",1,2,7,0.368421052631579
"[-1,-1,-1,0]_[-1,0,-1,-1]",0,1,10,0.454545454545455
"[-1,-1,-1,0]_[-1,0,-1,-1]",0,2,7,0.318181818181818
"[-1,-1,-1,0]_[-1,0,-1,-1]",1,2,5,0.227272727272727
"[-1,-1,-1,0]_[-1,0,-1,0]",0,1,1,0.25
"[-1,-1,-1,0]_[-1,0,-1,0]",0,2,3,0.75
"[-1,-1,-1,0]_[-1,0,-1,0]",1,2,0,0
"[-1,-1,-1,0]_[-1,0,-1,1]",0,1,2,0.4
"[-1,-1,-1,0]_[-1,0,-1,1]",0,2,2,0.4
"[-1,-1,-1,0]_[-1,0,-1,1]",1,2,1,0.2
"[-1,-1,-1,0]_[-1,0,0,-1]",0,1,2,0.666666666666667
"[-1,-1,-1,0]_[-1,0,0,-1]",0,2,0,0
"[-1,-1,-1,0]_[-1,0,0,-1]",1,2,1,0.333333333333333
"[-1,-1,-1,0]_[-1,0,0,1]",0,1,1,0.25
"[-1,-1,-1,0]_[-1,0,0,1]",0,2,0,0
"[-1,-1,-1,0]_[-1,0,0,1]",1,2,3,0.75
"[-1,-1,-1,0]_[-1,0,1,-1]",0,1,11,0.6875
"[-1,-1,-1,0]_[-1,0,1,-1]",0,2,0,0
"[-1,-1,-1,0]_[-1,0,1,-1]",1,2,5,0.3125
"[-1,-1,-1,0]_[-1,0,1,0]",0,1,11,0.423076923076923
"[-1,-1,-1,0]_[-1,0,1,0]",0,2,2,0.0769230769230769
"[-1,-1,-1,0]_[-1,0,1,0]",1,2,13,0.5
"[-1,-1,-1,0]_[-1,0,1,1]",0,1,2,0.4
"[-1,-1,-1,0]_[-1,0,1,1]",0,2,0,0
"[-1,-1,-1,0]_[-1,0,1,1]",1,2,3,0.6
"[-1,-1,-1,0]_[-1,1,-1,0]",0,1,8,0.444444444444444
"[-1,-1,-1,0]_[-1,1,-1,0]",0,2,2,0.111111111111111
"[-1,-1,-1,0]_[-1,1,-1,0]",1,2,8,0.444444444444444
"[-1,-1,-1,0]_[-1,1,0,-1]",0,1,3,0.6
"[-1,-1,-1,0]_[-1,1,0,-1]",0,2,0,0
"[-1,-1,-1,0]_[-1,1,0,-1]",1,2,2,0.4
