"efforts_tuples","selected0","selected1","count","count_normalized","selected_motions"
"[-1,-1,-1,0]_[-1,-1,0,-1]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,-1,0]_[-1,-1,0,-1]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[-1,-1,0,-1]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,-1,0]_[-1,-1,0,0]",0,1,0,0,"0_1"
"[-1,-1,-1,0]_[-1,-1,0,0]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[-1,-1,0,0]",1,2,12,1,"1_2"
"[-1,-1,-1,0]_[-1,-1,0,1]",0,1,2,0.2,"0_1"
"[-1,-1,-1,0]_[-1,-1,0,1]",0,2,2,0.2,"0_2"
"[-1,-1,-1,0]_[-1,-1,0,1]",1,2,6,0.6,"1_2"
"[-1,-1,-1,0]_[-1,-1,1,0]",0,1,7,0.7,"0_1"
"[-1,-1,-1,0]_[-1,-1,1,0]",0,2,2,0.2,"0_2"
"[-1,-1,-1,0]_[-1,-1,1,0]",1,2,1,0.1,"1_2"
"[-1,-1,-1,0]_[-1,0,-1,-1]",0,1,7,0.7,"0_1"
"[-1,-1,-1,0]_[-1,0,-1,-1]",0,2,2,0.2,"0_2"
"[-1,-1,-1,0]_[-1,0,-1,-1]",1,2,1,0.1,"1_2"
"[-1,-1,-1,0]_[-1,0,-1,0]",0,1,1,0.0909090909090909,"0_1"
"[-1,-1,-1,0]_[-1,0,-1,0]",0,2,6,0.545454545454545,"0_2"
"[-1,-1,-1,0]_[-1,0,-1,0]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,-1,0]_[-1,0,-1,1]",0,1,5,0.416666666666667,"0_1"
"[-1,-1,-1,0]_[-1,0,-1,1]",0,2,7,0.583333333333333,"0_2"
"[-1,-1,-1,0]_[-1,0,-1,1]",1,2,0,0,"1_2"
"[-1,-1,-1,0]_[-1,0,0,-1]",0,1,9,0.818181818181818,"0_1"
"[-1,-1,-1,0]_[-1,0,0,-1]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[-1,0,0,-1]",1,2,2,0.181818181818182,"1_2"
"[-1,-1,-1,0]_[-1,0,0,1]",0,1,3,0.3,"0_1"
"[-1,-1,-1,0]_[-1,0,0,1]",0,2,1,0.1,"0_2"
"[-1,-1,-1,0]_[-1,0,0,1]",1,2,6,0.6,"1_2"
"[-1,-1,-1,0]_[-1,0,1,-1]",0,1,7,0.7,"0_1"
"[-1,-1,-1,0]_[-1,0,1,-1]",0,2,0,0,"0_2"
