id,hitId,qInd,motionType,effortsLeft,effortsRight,selected0,selected1
"A10K4HUTLW7ZT0 ",45,0,0,"[-1,0,-1,1]","[-1,0,0,-1]",1,2
"A10K4HUTLW7ZT0 ",45,1,0,"[-1,0,-1,1]","[-1,0,0,-1]",1,2
"A10K4HUTLW7ZT0 ",45,2,0,"[-1,0,1,0]","[-1,0,-1,1]",1,2
"A10K4HUTLW7ZT0 ",45,3,0,"[1,0,0,-1]","[1,1,0,0]",1,2
"A10S9LJ613KHM0 ",26,0,0,"[0,-1,-1,1]","[-1,1,-1,0]",0,1
"A10S9LJ613KHM0 ",26,1,0,"[0,-1,-1,1]","[-1,1,-1,0]",0,1
"A10S9LJ613KHM0 ",26,2,0,"[-1,-1,0,0]","[1,1,0,1]",0,2
"A10S9LJ613KHM0 ",26,3,0,"[-1,0,0,-1]","[0,1,0,-1]",0,2
"A10S9LJ613KHM0 ",26,4,0,"[-1,-1,1,0]","[-1,0,0,-1]",0,1
"A10S9LJ613KHM0 ",26,5,0,"[1,1,-1,0]","[-1,1,0,1]",1,2
"A10S9LJ613KHM0 ",26,6,0,"[0,1,-1,1]","[1,0,-1,1]",0,2
"A10S9LJ613KHM0 ",26,7,0,"[1,1,0,-1]","[0,-1,-1,-1]",1,2
"A10S9LJ613KHM0 ",34,0,0,"[1,-1,0,1]","[1,1,0,-1]",1,2
"A10S9LJ613KHM0 ",34,1,0,"[1,-1,0,1]","[1,1,0,-1]",1,2
"A10S9LJ613KHM0 ",34,2,0,"[0,-1,0,-1]","[0,1,0,-1]",0,2
"A10S9LJ613KHM0 ",34,3,0,"[0,-1,1,-1]","[1,0,1,1]",1,2
"A10S9LJ613KHM0 ",34,4,0,"[1,1,1,0]","[1,0,1,1]",0,2
"A10S9LJ613KHM0 ",34,5,0,"[-1,-1,1,0]","[-1,-1,-1,0]",1,2
"A10S9LJ613KHM0 ",34,6,0,"[-1,0,-1,-1]","[-1,0,1,1]",1,2
"A10S9LJ613KHM0 ",34,7,0,"[-1,0,-1,-1]","[0,1,-1,-1]",0,2
"A10S9LJ613KHM0 ",34,8,0,"[-1,0,-1,1]","[1,-1,1,0]",0,1
"A10S9LJ613KHM0 ",34,9,0,"[-1,1,1,0]","[-1,0,-1,1]",1,2
"A10S9LJ613KHM0 ",34,10,0,"[-1,-1,0,-1]","[1,0,1,0]",0,2
"A10S9LJ613KHM0 ",34,11,0,"[1,-1,-1,0]","[1,0,0,1]",1,2
"A10S9LJ613KHM0 ",44,0,0,"[1,-1,0,-1]","[1,0,0,-1]",0,2
"A11BUIVLGWS6O4 ",3,0,0,"[-1,0,0,-1]","[0,1,1,-1]",0,2
"A11BUIVLGWS6O4 ",3,1,0,"[-1,0,0,-1]","[0,1,1,-1]",1,2
"A11BUIVLGWS6O4 ",3,2,0,"[1,0,0,-1]","[1,0,1,0]",0,2
"A11BUIVLGWS6O4 ",3,3,0,"[-1,0,-1,0]","[1,0,-1,0]",0,2
"A11BUIVLGWS6O4 ",3,4,0,"[-1,-1,0,1]","[0,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",3,5,0,"[0,-1,-1,1]","[0,1,0,-1]",0,1
"A11BUIVLGWS6O4 ",9,0,0,"[-1,-1,0,1]","[0,-1,1,-1]",0,1
"A11BUIVLGWS6O4 ",9,1,0,"[-1,-1,0,1]","[0,-1,1,-1]",0,1
"A11BUIVLGWS6O4 ",9,2,0,"[1,0,-1,-1]","[0,1,1,-1]",0,1
"A11BUIVLGWS6O4 ",9,3,0,"[-1,-1,0,0]","[0,-1,-1,-1]",0,1
"A11BUIVLGWS6O4 ",9,4,0,"[-1,0,-1,-1]","[1,0,1,1]",1,2
"A11BUIVLGWS6O4 ",9,5,0,"[1,-1,0,-1]","[-1,1,0,0]",1,2
"A11BUIVLGWS6O4 ",9,6,0,"[-1,-1,0,0]","[0,1,0,-1]",1,2
"A11BUIVLGWS6O4 ",9,7,0,"[1,1,0,1]","[-1,-1,0,1]",0,1
"A11BUIVLGWS6O4 ",9,8,0,"[-1,0,-1,0]","[0,1,1,-1]",0,1
"A11BUIVLGWS6O4 ",9,9,0,"[1,-1,-1,0]","[0,-1,1,-1]",0,1
"A11BUIVLGWS6O4 ",9,10,0,"[1,1,0,1]","[-1,-1,0,0]",1,2
"A11BUIVLGWS6O4 ",9,11,0,"[0,1,-1,1]","[1,1,0,1]",1,2
"A11BUIVLGWS6O4 ",11,0,0,"[-1,-1,0,1]","[1,0,1,1]",0,1
"A11BUIVLGWS6O4 ",11,1,0,"[-1,-1,0,1]","[1,0,1,1]",0,1
"A11BUIVLGWS6O4 ",11,2,0,"[1,-1,0,1]","[1,0,1,0]",0,1
"A11BUIVLGWS6O4 ",11,3,0,"[-1,0,-1,0]","[-1,0,-1,-1]",1,2
"A11BUIVLGWS6O4 ",11,4,0,"[0,-1,1,1]","[0,0,1,1]",0,2
"A11BUIVLGWS6O4 ",11,5,0,"[-1,1,0,-1]","[-1,0,1,0]",1,2
"A11BUIVLGWS6O4 ",11,6,0,"[0,-1,-1,1]","[-1,-1,1,0]",1,2
"A11BUIVLGWS6O4 ",11,7,0,"[1,0,1,0]","[-1,-1,0,0]",0,1
"A11BUIVLGWS6O4 ",11,8,0,"[1,-1,-1,0]","[0,0,1,1]",1,2
"A11BUIVLGWS6O4 ",11,9,0,"[0,1,1,1]","[-1,1,0,1]",1,2
"A11BUIVLGWS6O4 ",11,10,0,"[1,1,0,-1]","[0,1,-1,-1]",0,2
"A11BUIVLGWS6O4 ",11,11,0,"[0,-1,1,1]","[-1,1,1,0]",1,2
"A11BUIVLGWS6O4 ",17,0,0,"[1,0,0,-1]","[-1,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",17,1,0,"[1,0,0,-1]","[-1,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",17,2,0,"[0,1,1,-1]","[1,1,0,-1]",0,2
"A11BUIVLGWS6O4 ",17,3,0,"[-1,0,-1,0]","[0,-1,-1,-1]",1,2
"A11BUIVLGWS6O4 ",17,4,0,"[1,-1,-1,0]","[0,-1,-1,1]",0,1
"A11BUIVLGWS6O4 ",17,5,0,"[0,-1,-1,1]","[1,1,0,1]",0,1
"A11BUIVLGWS6O4 ",17,6,0,"[1,-1,-1,0]","[-1,0,0,1]",1,2
"A11BUIVLGWS6O4 ",17,7,0,"[1,1,-1,0]","[1,-1,1,0]",0,1
"A11BUIVLGWS6O4 ",23,0,0,"[0,-1,-1,-1]","[1,0,-1,0]",1,2
"A11BUIVLGWS6O4 ",23,1,0,"[0,-1,-1,-1]","[1,0,-1,0]",0,1
"A11BUIVLGWS6O4 ",23,2,0,"[1,1,-1,0]","[0,-1,1,-1]",0,1
"A11BUIVLGWS6O4 ",23,3,0,"[-1,0,1,1]","[-1,0,0,-1]",1,2
"A11BUIVLGWS6O4 ",23,4,0,"[-1,0,1,1]","[0,-1,-1,1]",0,2
"A11BUIVLGWS6O4 ",23,5,0,"[0,1,1,1]","[1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",23,6,0,"[0,-1,0,1]","[1,1,-1,0]",0,1
"A11BUIVLGWS6O4 ",23,7,0,"[-1,1,0,0]","[1,1,0,0]",0,1
"A11BUIVLGWS6O4 ",23,8,0,"[1,-1,1,0]","[1,0,1,-1]",0,1
"A11BUIVLGWS6O4 ",23,9,0,"[-1,0,1,0]","[1,0,1,0]",0,2
"A11BUIVLGWS6O4 ",23,10,0,"[1,1,0,-1]","[0,0,1,1]",1,2
"A11BUIVLGWS6O4 ",23,11,0,"[1,0,0,-1]","[1,-1,-1,0]",1,2
"A11BUIVLGWS6O4 ",26,0,0,"[-1,1,0,-1]","[1,-1,0,1]",1,2
"A11BUIVLGWS6O4 ",26,1,0,"[-1,1,0,-1]","[1,-1,0,1]",1,2
"A11BUIVLGWS6O4 ",26,2,0,"[-1,0,-1,-1]","[-1,1,0,-1]",1,2
"A11BUIVLGWS6O4 ",26,3,0,"[1,0,0,-1]","[1,-1,0,-1]",1,2
"A11BUIVLGWS6O4 ",26,4,0,"[0,1,0,-1]","[0,-1,0,-1]",0,2
"A11BUIVLGWS6O4 ",26,5,0,"[1,0,1,0]","[-1,0,-1,0]",1,2
