,drive,Space,Weight,Time,Flow,action,diff
0,0,-1,-1,-1,0,pointing,10593.73214600995
1,1,-1,1,-1,0,pointing,7552.078193529144
2,2,-1,-1,1,0,pointing,6005.9461924646375
3,3,-1,1,1,0,pointing,5895.800029444711
4,4,1,-1,-1,0,pointing,8333.755275169317
5,5,1,1,-1,0,pointing,5971.04237136805
6,6,1,-1,1,0,pointing,7184.3022754572185
7,7,1,1,1,0,pointing,6553.77103939916
8,8,-1,0,-1,-1,pointing,7618.852532593148
9,9,-1,0,-1,1,pointing,7254.906175915712
10,10,-1,0,1,-1,pointing,8865.208048901824
11,11,-1,0,1,1,pointing,7152.085676792734
12,12,1,0,-1,-1,pointing,9017.040966006263
13,13,1,0,-1,1,pointing,6727.427688384028
14,14,1,0,1,-1,pointing,6589.893480147836
15,15,1,0,1,1,pointing,6716.968713433994
16,16,-1,-1,0,-1,pointing,9051.892140976253
17,17,-1,-1,0,1,pointing,9143.293164080165
18,18,-1,1,0,-1,pointing,6705.118089318167
19,19,-1,1,0,1,pointing,7387.081188340192
20,20,1,-1,0,-1,pointing,9016.517222554467
21,21,1,-1,0,1,pointing,7233.910498544121
22,22,1,1,0,-1,pointing,6748.017070241753
23,23,1,1,0,1,pointing,6897.759174533601
24,24,0,-1,-1,-1,pointing,8491.059522586382
25,25,0,-1,-1,1,pointing,8579.94063076939
26,26,0,1,-1,-1,pointing,6559.1372563320965
27,27,0,1,-1,1,pointing,7730.037997272424
28,28,0,-1,1,-1,pointing,7241.105577604834
29,29,0,-1,1,1,pointing,4452.150771915182
30,30,0,1,1,-1,pointing,7219.470689124443
31,31,0,1,1,1,pointing,3836.5031738886373
32,0,-1,-1,-1,0,picking,2153.2107917791736
33,1,-1,1,-1,0,picking,985.2910286911612
34,2,-1,-1,1,0,picking,2763.987991657543
35,3,-1,1,1,0,picking,2595.675859086322
36,4,1,-1,-1,0,picking,1016.7253356096879
37,5,1,1,-1,0,picking,987.4498110589195
38,6,1,-1,1,0,picking,1134.2561834406526
39,7,1,1,1,0,picking,1359.007474680056
40,8,-1,0,-1,-1,picking,2648.5996280773657
41,9,-1,0,-1,1,picking,1880.7129546253302
42,10,-1,0,1,-1,picking,2142.858729281416
43,11,-1,0,1,1,picking,1700.4981168270342
44,12,1,0,-1,-1,picking,2161.314079011411
45,13,1,0,-1,1,picking,1036.4373766216784
46,14,1,0,1,-1,picking,2464.8497522034877
47,15,1,0,1,1,picking,1279.9437221803207
48,16,-1,-1,0,-1,picking,2603.596165267944
49,17,-1,-1,0,1,picking,2035.8929240399925
50,18,-1,1,0,-1,picking,2026.081489806098
51,19,-1,1,0,1,picking,1952.1578386035073
52,20,1,-1,0,-1,picking,2273.5728204539
53,21,1,-1,0,1,picking,1516.196934355689
54,22,1,1,0,-1,picking,2814.8764940547053
55,23,1,1,0,1,picking,1171.4268827615
56,24,0,-1,-1,-1,picking,3518.661293352773
57,25,0,-1,-1,1,picking,2212.53250645598
58,26,0,1,-1,-1,picking,2358.4861682943024
59,27,0,1,-1,1,picking,2024.072032601526
60,28,0,-1,1,-1,picking,2537.612598424134
61,29,0,-1,1,1,picking,1098.459840692362
62,30,0,1,1,-1,picking,1893.3751133791302
63,31,0,1,1,1,picking,1559.342694613127
64,0,-1,-1,-1,0,walking,63146.970290141355
65,1,-1,1,-1,0,walking,1893.600201824488
66,2,-1,-1,1,0,walking,4533.862775148048
67,3,-1,1,1,0,walking,3842.0646478890144
68,4,1,-1,-1,0,walking,2133.184970413482
69,5,1,1,-1,0,walking,899.6164137865613
70,6,1,-1,1,0,walking,3474.703658054644
71,7,1,1,1,0,walking,3214.2749615899625
72,8,-1,0,-1,-1,walking,4238.678313583102
73,9,-1,0,-1,1,walking,2697.0118499875443
74,10,-1,0,1,-1,walking,4949.837997379039
75,11,-1,0,1,1,walking,2788.6176909809974
76,12,1,0,-1,-1,walking,4201.695581238331
77,13,1,0,-1,1,walking,1563.183352927073
78,14,1,0,1,-1,walking,2581.345599860516
79,15,1,0,1,1,walking,3004.800063966401
80,16,-1,-1,0,-1,walking,5163.050533241405
81,17,-1,-1,0,1,walking,3118.969365776501
82,18,-1,1,0,-1,walking,5227.839444011804
83,19,-1,1,0,1,walking,3803.1363357034274
84,20,1,-1,0,-1,walking,5255.444640201342
85,21,1,-1,0,1,walking,2177.851034352907
86,22,1,1,0,-1,walking,3917.3748680241592
87,23,1,1,0,1,walking,1207.8450730847073
88,24,0,-1,-1,-1,walking,4187.930671313945
89,25,0,-1,-1,1,walking,3075.222474275714
90,26,0,1,-1,-1,walking,3761.8873463716263
91,27,0,1,-1,1,walking,2626.3490794721815
92,28,0,-1,1,-1,walking,6493.944028775848
93,29,0,-1,1,1,walking,2757.6424612792666
94,30,0,1,1,-1,walking,3727.128434684989
95,31,0,1,1,1,walking,2175.952827257516
