,drive,Space,Weight,Time,Flow,action,diff
0,0,-1,-1,-1,0,pointing,2.372549019607843
1,1,-1,1,-1,0,pointing,2.549019607843137
2,2,-1,-1,1,0,pointing,2.2026143790849675
3,3,-1,1,1,0,pointing,2.1372549019607843
4,4,1,-1,-1,0,pointing,2.4640522875816995
5,5,1,1,-1,0,pointing,2.5686274509803924
6,6,1,-1,1,0,pointing,2.588235294117647
7,7,1,1,1,0,pointing,2.4444444444444446
8,8,-1,0,-1,-1,pointing,1.4705882352941178
9,9,-1,0,-1,1,pointing,2.5163398692810457
10,10,-1,0,1,-1,pointing,1.4509803921568627
11,11,-1,0,1,1,pointing,2.581699346405229
12,12,1,0,-1,-1,pointing,1.3333333333333333
13,13,1,0,-1,1,pointing,2.5686274509803924
14,14,1,0,1,-1,pointing,1.4183006535947713
15,15,1,0,1,1,pointing,2.7058823529411766
16,16,-1,-1,0,-1,pointing,1.3790849673202614
17,17,-1,-1,0,1,pointing,2.4444444444444446
18,18,-1,1,0,-1,pointing,1.3856209150326797
19,19,-1,1,0,1,pointing,2.5359477124183005
20,20,1,-1,0,-1,pointing,1.3725490196078431
21,21,1,-1,0,1,pointing,2.5620915032679736
22,22,1,1,0,-1,pointing,1.1241830065359477
23,23,1,1,0,1,pointing,2.4640522875816995
24,24,0,-1,-1,-1,pointing,1.2418300653594772
25,25,0,-1,-1,1,pointing,2.4901960784313726
26,26,0,1,-1,-1,pointing,1.196078431372549
27,27,0,1,-1,1,pointing,2.235294117647059
28,28,0,-1,1,-1,pointing,1.4052287581699345
29,29,0,-1,1,1,pointing,2.6993464052287583
30,30,0,1,1,-1,pointing,1.34640522875817
31,31,0,1,1,1,pointing,2.2679738562091503
32,0,-1,-1,-1,0,picking,2.372549019607843
33,1,-1,1,-1,0,picking,2.549019607843137
34,2,-1,-1,1,0,picking,2.2026143790849675
35,3,-1,1,1,0,picking,2.1372549019607843
36,4,1,-1,-1,0,picking,2.4640522875816995
37,5,1,1,-1,0,picking,2.5686274509803924
38,6,1,-1,1,0,picking,2.588235294117647
39,7,1,1,1,0,picking,2.4444444444444446
40,8,-1,0,-1,-1,picking,1.4705882352941178
41,9,-1,0,-1,1,picking,2.5163398692810457
42,10,-1,0,1,-1,picking,1.4509803921568627
43,11,-1,0,1,1,picking,2.581699346405229
44,12,1,0,-1,-1,picking,1.3333333333333333
45,13,1,0,-1,1,picking,2.5686274509803924
46,14,1,0,1,-1,picking,1.4183006535947713
47,15,1,0,1,1,picking,2.7058823529411766
48,16,-1,-1,0,-1,picking,1.3790849673202614
49,17,-1,-1,0,1,picking,2.4444444444444446
50,18,-1,1,0,-1,picking,1.3856209150326797
51,19,-1,1,0,1,picking,2.5359477124183005
52,20,1,-1,0,-1,picking,1.3725490196078431
53,21,1,-1,0,1,picking,2.5620915032679736
54,22,1,1,0,-1,picking,1.1241830065359477
55,23,1,1,0,1,picking,2.4640522875816995
56,24,0,-1,-1,-1,picking,1.2418300653594772
57,25,0,-1,-1,1,picking,2.4901960784313726
58,26,0,1,-1,-1,picking,1.196078431372549
59,27,0,1,-1,1,picking,2.235294117647059
60,28,0,-1,1,-1,picking,1.4052287581699345
61,29,0,-1,1,1,picking,2.6993464052287583
62,30,0,1,1,-1,picking,1.34640522875817
63,31,0,1,1,1,picking,2.2679738562091503
64,0,-1,-1,-1,0,walking,2.372549019607843
65,1,-1,1,-1,0,walking,2.549019607843137
66,2,-1,-1,1,0,walking,2.2026143790849675
67,3,-1,1,1,0,walking,2.1372549019607843
68,4,1,-1,-1,0,walking,2.4640522875816995
69,5,1,1,-1,0,walking,2.5686274509803924
70,6,1,-1,1,0,walking,2.588235294117647
71,7,1,1,1,0,walking,2.4444444444444446
72,8,-1,0,-1,-1,walking,1.4705882352941178
73,9,-1,0,-1,1,walking,2.5163398692810457
74,10,-1,0,1,-1,walking,1.4509803921568627
75,11,-1,0,1,1,walking,2.581699346405229
76,12,1,0,-1,-1,walking,1.3333333333333333
77,13,1,0,-1,1,walking,2.5686274509803924
78,14,1,0,1,-1,walking,1.4183006535947713
79,15,1,0,1,1,walking,2.7058823529411766
80,16,-1,-1,0,-1,walking,1.3790849673202614
81,17,-1,-1,0,1,walking,2.4444444444444446
82,18,-1,1,0,-1,walking,1.3856209150326797
83,19,-1,1,0,1,walking,2.5359477124183005
84,20,1,-1,0,-1,walking,1.3725490196078431
85,21,1,-1,0,1,walking,2.5620915032679736
86,22,1,1,0,-1,walking,1.1241830065359477
87,23,1,1,0,1,walking,2.4640522875816995
88,24,0,-1,-1,-1,walking,1.2418300653594772
89,25,0,-1,-1,1,walking,2.4901960784313726
90,26,0,1,-1,-1,walking,1.196078431372549
91,27,0,1,-1,1,walking,2.235294117647059
92,28,0,-1,1,-1,walking,1.4052287581699345
93,29,0,-1,1,1,walking,2.6993464052287583
94,30,0,1,1,-1,walking,1.34640522875817
95,31,0,1,1,1,walking,2.2679738562091503
