HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url,Answer.movement-difference.label,Approve
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,3018Q3ZVOQ5527N0D44XKMO61HPARY,AXHLESLYR86OU,Submitted,Tue Mar 16 13:09:32 PDT 2021,Tue Mar 16 13:09:50 PDT 2021,Fri Mar 19 13:09:50 PDT 2021,,,,18,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Slightly similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,31T4R4OBO0VJD30JO42IL0NU08A7CS,A2VO8C41JJIQY9,Submitted,Tue Mar 16 12:48:51 PDT 2021,Tue Mar 16 12:49:03 PDT 2021,Fri Mar 19 12:49:03 PDT 2021,,,,12,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Highly similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,32SVAV9L3NODJ52Y2E312OLQV36A3R,AW8C7BLRB8CZG,Submitted,Tue Mar 16 12:58:07 PDT 2021,Tue Mar 16 12:58:37 PDT 2021,Fri Mar 19 12:58:37 PDT 2021,,,,30,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Slightly similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,339ANSOTRDHYLLT3Z8ND08QBJXXIKE,A32DRYN7M7HIZT,Submitted,Tue Mar 16 12:59:27 PDT 2021,Tue Mar 16 13:00:25 PDT 2021,Fri Mar 19 13:00:25 PDT 2021,,,,58,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Moderately similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,340UGXU9D6GHANIFSTQYLKP3TQOUVH,A1GRC12IH5WWLK,Submitted,Tue Mar 16 12:49:48 PDT 2021,Tue Mar 16 12:50:32 PDT 2021,Fri Mar 19 12:50:32 PDT 2021,,,,44,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Highly similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,34BBWHLWHIQPGLNKOM6GOJK6647IWB,AE0X131JOSOTA,Submitted,Tue Mar 16 13:02:52 PDT 2021,Tue Mar 16 13:04:15 PDT 2021,Fri Mar 19 13:04:15 PDT 2021,,,,83,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Moderately similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,36TFCYNS4CP49QHQS9KHQQXYFTWHX8,A12EO8AAUDZIU8,Submitted,Tue Mar 16 12:54:28 PDT 2021,Tue Mar 16 12:54:41 PDT 2021,Fri Mar 19 12:54:41 PDT 2021,,,,13,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Not similar at all,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,386PBUZZXNC502VR2QKER9IQLCRLJW,A2PBRI6BOYDN94,Submitted,Tue Mar 16 12:59:25 PDT 2021,Tue Mar 16 12:59:53 PDT 2021,Fri Mar 19 12:59:53 PDT 2021,,,,28,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Moderately similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,38JBBYETQWP1RE2EIXA68C3NUI14E2,A21VFGQ9NQ1SY7,Submitted,Tue Mar 16 13:00:40 PDT 2021,Tue Mar 16 13:00:50 PDT 2021,Fri Mar 19 13:00:50 PDT 2021,,,,10,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Highly similar,
3Q9SPIIRXQ17OJ7SMW81I100NBTAWX,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Tue Mar 16 12:42:56 PDT 2021,51,BatchId:4370109;OriginalHitTemplateId:928390922;,300,259200,Tue Mar 23 12:42:56 PDT 2021,,,39GHHAVOMN692UO6WYLX5SGFZQTJ4Y,A1WF1X8PQQJ2OQ,Submitted,Tue Mar 16 12:49:50 PDT 2021,Tue Mar 16 12:50:19 PDT 2021,Fri Mar 19 12:50:19 PDT 2021,,,,29,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/pointing_000.mp4,Slightly similar,
