HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url,Answer.movement-difference.label,Approve,Reject,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,304SM51WABJMMWS5Y74Y57D8CI8SBJ,AXAXLC0TXQ0QW,Submitted,Mon May 10 09:59:37 PDT 2021,Mon May 10 09:59:52 PDT 2021,Thu May 13 09:59:52 PDT 2021,,,,15,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,308XBLVESQJALHSSJI4TFX8CQGSBRH,A2IWGAADU93RNZ,Submitted,Mon May 10 10:09:46 PDT 2021,Mon May 10 10:10:25 PDT 2021,Thu May 13 10:10:25 PDT 2021,,,,39,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,30LSNF2392A345PDA2H90C4H9ETI2F,A39ICPRR4OS3OX,Submitted,Mon May 10 09:56:27 PDT 2021,Mon May 10 09:57:13 PDT 2021,Thu May 13 09:57:13 PDT 2021,,,,46,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,3,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,33C7UALJVTD3QEV4IC54I40YECB81H,A1VMYCTZSIBP5J,Submitted,Mon May 10 10:00:38 PDT 2021,Mon May 10 10:00:46 PDT 2021,Thu May 13 10:00:46 PDT 2021,,,,8,100% (97/97),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,33F859I56ESXWNEPNDSZ1T6637RBHH,A2MRHI9MYSZ37U,Submitted,Mon May 10 09:56:47 PDT 2021,Mon May 10 09:58:06 PDT 2021,Thu May 13 09:58:06 PDT 2021,,,,79,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,33SA9F9TR59D0GLYS3GP34MELSHWE2,A306NPJADFSPON,Submitted,Mon May 10 09:58:27 PDT 2021,Mon May 10 09:59:18 PDT 2021,Thu May 13 09:59:18 PDT 2021,,,,51,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,33SA9F9TR59D0GLYS3GP34MELSJWE4,A3EM9OBO5KU9GG,Submitted,Mon May 10 10:07:07 PDT 2021,Mon May 10 10:07:19 PDT 2021,Thu May 13 10:07:19 PDT 2021,,,,12,100% (56/56),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,3570Y55XZXYF9ZCPDZO1O4S69GVYGJ,A3U5D83UGFY23Y,Submitted,Mon May 10 09:56:37 PDT 2021,Mon May 10 09:56:48 PDT 2021,Thu May 13 09:56:48 PDT 2021,,,,11,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,3,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,35LDD5557IJKH4JUKNL5S1XS7N2KMM,AE62GL4CCNGDS,Submitted,Mon May 10 10:10:45 PDT 2021,Mon May 10 10:11:37 PDT 2021,Thu May 13 10:11:37 PDT 2021,,,,52,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,3,,,
3MGHRFQY3S4FCB4A9VTWES93R16Y0S,32CVJ4DS87AKBZOS25MBBTDANR6VKA,Virtual Character Motion Comparison,Rate the similarity of the movements of the two side-by-side virtual characters,"video, comparison, virtual character animation",$0.05 ,Mon May 10 09:55:34 PDT 2021,51,BatchId:4436912;OriginalHitTemplateId:928390922;,300,259200,Mon May 17 09:55:34 PDT 2021,,,36PW28KO47BGT3IVRYKXLFPNT9EAE5,A329CKW65AYB5K,Submitted,Mon May 10 09:56:21 PDT 2021,Mon May 10 09:57:29 PDT 2021,Thu May 13 09:57:29 PDT 2021,,,,68,0% (0/0),0% (0/0),0% (0/0),https://www.cs.umb.edu/~fundad/drives/picking_neutral.mp4,4,,,
