,drive,Space,Weight,Time,Flow,action,diff
0,0,-1,-1,-1,0,pointing,10207.429242785396
1,1,-1,1,-1,0,pointing,7495.818429200489
2,2,-1,-1,1,0,pointing,5503.0022810159235
3,3,-1,1,1,0,pointing,5646.334198488829
4,4,1,-1,-1,0,pointing,7952.9235048176615
5,5,1,1,-1,0,pointing,5776.905703295786
6,6,1,-1,1,0,pointing,6722.490097193333
7,7,1,1,1,0,pointing,6292.414751348362
8,8,-1,0,-1,-1,pointing,7433.591867089135
9,9,-1,0,-1,1,pointing,6972.541718841404
10,10,-1,0,1,-1,pointing,8691.630742715683
11,11,-1,0,1,1,pointing,6916.167109425685
12,12,1,0,-1,-1,pointing,8773.943090161578
13,13,1,0,-1,1,pointing,6354.122984032546
14,14,1,0,1,-1,pointing,6416.870886497014
15,15,1,0,1,1,pointing,6397.240305236123
16,16,-1,-1,0,-1,pointing,8794.515409243615
17,17,-1,-1,0,1,pointing,9023.452177494955
18,18,-1,1,0,-1,pointing,6447.081525929485
19,19,-1,1,0,1,pointing,7260.763046480526
20,20,1,-1,0,-1,pointing,8805.087131036074
21,21,1,-1,0,1,pointing,6896.222549985689
22,22,1,1,0,-1,pointing,6527.184512634759
23,23,1,1,0,1,pointing,6775.812586789086
24,24,0,-1,-1,-1,pointing,8344.30719797029
25,25,0,-1,-1,1,pointing,8297.05261672255
26,26,0,1,-1,-1,pointing,6335.29988258649
27,27,0,1,-1,1,pointing,7557.976484774976
28,28,0,-1,1,-1,pointing,6818.210950509523
29,29,0,-1,1,1,pointing,4075.686245766998
30,30,0,1,1,-1,pointing,7089.257625508882
31,31,0,1,1,1,pointing,3577.705250366835
32,0,-1,-1,-1,0,picking,899.6133496348493
33,1,-1,1,-1,0,picking,365.78759757022
34,2,-1,-1,1,0,picking,2248.15626933234
35,3,-1,1,1,0,picking,2320.77802598534
36,4,1,-1,-1,0,picking,435.3511883552192
37,5,1,1,-1,0,picking,754.3901309763778
38,6,1,-1,1,0,picking,625.8028211834181
39,7,1,1,1,0,picking,969.570896409981
40,8,-1,0,-1,-1,picking,2328.747709457203
41,9,-1,0,-1,1,picking,1472.8306991172926
42,10,-1,0,1,-1,picking,1741.4993983341046
43,11,-1,0,1,1,picking,1275.1086296329142
44,12,1,0,-1,-1,picking,1724.8093111144185
45,13,1,0,-1,1,picking,471.66115352001754
46,14,1,0,1,-1,picking,2020.7662713689565
47,15,1,0,1,1,picking,788.9898186789015
48,16,-1,-1,0,-1,picking,2130.978963915898
49,17,-1,-1,0,1,picking,1404.4714572878293
50,18,-1,1,0,-1,picking,1689.4253298077738
51,19,-1,1,0,1,picking,1503.7966130086986
52,20,1,-1,0,-1,picking,1829.9146482867832
53,21,1,-1,0,1,picking,893.8155305879051
54,22,1,1,0,-1,picking,2565.78372161247
55,23,1,1,0,1,picking,798.4127331221324
56,24,0,-1,-1,-1,picking,2664.63186604212
57,25,0,-1,-1,1,picking,1262.1032835143674
58,26,0,1,-1,-1,picking,2006.089012772818
59,27,0,1,-1,1,picking,1674.7190969727108
60,28,0,-1,1,-1,picking,2061.9003105724146
61,29,0,-1,1,1,picking,373.7812011623239
62,30,0,1,1,-1,picking,1406.6884902019062
63,31,0,1,1,1,picking,1378.1600082703471
64,0,-1,-1,-1,0,walking,62702.86364491807
65,1,-1,1,-1,0,walking,1593.4487947865007
66,2,-1,-1,1,0,walking,3941.397960474633
67,3,-1,1,1,0,walking,3527.336227340063
68,4,1,-1,-1,0,walking,1286.444617967735
69,5,1,1,-1,0,walking,542.1470387484683
70,6,1,-1,1,0,walking,2662.783130163447
71,7,1,1,1,0,walking,2889.5645556707295
72,8,-1,0,-1,-1,walking,3916.335727803711
73,9,-1,0,-1,1,walking,2508.0382836772014
74,10,-1,0,1,-1,walking,4625.757690606528
75,11,-1,0,1,1,walking,2443.894335369158
76,12,1,0,-1,-1,walking,3853.415418555842
77,13,1,0,-1,1,walking,1276.0198917463244
78,14,1,0,1,-1,walking,2397.73031135432
79,15,1,0,1,1,walking,2737.311870922924
80,16,-1,-1,0,-1,walking,4872.38461842958
81,17,-1,-1,0,1,walking,2812.6347377721595
82,18,-1,1,0,-1,walking,5053.589030101526
83,19,-1,1,0,1,walking,3605.645467180063
84,20,1,-1,0,-1,walking,4967.179978491531
85,21,1,-1,0,1,walking,1253.002117312539
86,22,1,1,0,-1,walking,3661.6282913392633
87,23,1,1,0,1,walking,880.9970180537292
88,24,0,-1,-1,-1,walking,3810.968421160662
89,25,0,-1,-1,1,walking,2561.563433891255
90,26,0,1,-1,-1,walking,3497.609168677104
91,27,0,1,-1,1,walking,2346.092495585467
92,28,0,-1,1,-1,walking,6098.344016875693
93,29,0,-1,1,1,walking,2200.080582757587
94,30,0,1,1,-1,walking,3473.29559809892
95,31,0,1,1,1,walking,1890.6408516440033
