id,motionType,effortsLeft,effortsRight,selected0,selected1,qInd
"1674326786942 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674326786942 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674326786942 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674326786942 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674326786942 ",0,"[1,1,1,0]","[1,1,1,0]",1,2,2
"1674326786942 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674326786942 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674326786942 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674326786942 ",0,"[-1,1,1,0]","[1,1,1,0]",0,1,4
"1674326786942 ",1,"[-1,1,1,0]","[1,1,1,0]",1,2,4
"1674326786942 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674326786942 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674326996159 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674326996159 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674326996159 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674326996159 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674326996159 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674326996159 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674326996159 ",0,"[1,1,1,0]","[1,-1,1,0]",1,2,3
"1674326996159 ",1,"[1,1,1,0]","[1,-1,1,0]",0,1,3
"1674326996159 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674326996159 ",1,"[-1,1,1,0]","[1,1,1,0]",1,2,4
"1674326996159 ",0,"[-1,1,1,0]","[1,-1,1,0]",1,2,5
"1674326996159 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674328950169 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674328950169 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674328950169 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674328950169 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674328950169 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674328950169 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674328950169 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674328950169 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674328950169 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674328950169 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674328950169 ",0,"[-1,1,1,0]","[1,-1,1,0]",1,2,5
"1674328950169 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674330762999 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674330762999 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674330762999 ",0,"[1,0,1,-1]","[1,0,1,1]",0,2,1
