,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
0,"[(-1, -1, -1, 0), (-1, -1, 0, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
1,"[(-1, -1, -1, 0), (-1, -1, 0, 0)]",1,2,11,0.733333333333333,1_2,0.0,0.0,0.0,0.6666666666666663,0.0,0.533333333333333
2,"[(-1, -1, -1, 0), (-1, -1, 0, 1)]",1,2,4,0.4,1_2,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
3,"[(-1, -1, -1, 0), (-1, -1, 1, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
4,"[(-1, -1, -1, 0), (-1, 0, -1, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.39999999999999997,0.0,0.7,0.0
5,"[(-1, -1, -1, 0), (-1, 0, -1, 0)]",0,2,6,0.6,0_2,0.19999999999999996,0.6,0.0,0.0,0.0,0.0
6,"[(-1, -1, -1, 0), (-1, 0, -1, 1)]",0,2,9,0.818181818181818,0_2,0.818181818181818,0.636363636363636,0.0,0.0,0.0,0.0
7,"[(-1, -1, -1, 0), (-1, 0, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0
8,"[(-1, -1, -1, 0), (-1, 0, 0, 1)]",1,2,9,0.6,1_2,0.0,0.0,0.0,0.19999999999999996,0.0,0.6
9,"[(-1, -1, -1, 0), (-1, 0, 1, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997,0.0
10,"[(-1, -1, -1, 0), (-1, 0, 1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.6,0.0,0.49999999999999994
11,"[(-1, -1, -1, 0), (-1, 0, 1, 1)]",0,1,8,0.444444444444444,0_1,0.0,0.0,0.333333333333333,0.0,0.0,0.0
12,"[(-1, -1, -1, 0), (-1, 1, -1, 0)]",0,2,7,0.7,0_2,0.6,0.49999999999999994,0.0,0.0,0.0,0.0
13,"[(-1, -1, -1, 0), (-1, 1, 0, -1)]",0,1,4,0.4,0_1,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003,0.0
14,"[(-1, -1, -1, 0), (-1, 1, 0, 0)]",1,2,12,0.8,1_2,0.0,0.0,0.0,0.8,0.0,0.6000000000000001
15,"[(-1, -1, -1, 0), (-1, 1, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
16,"[(-1, -1, -1, 0), (-1, 1, 1, 0)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.4,0.0,0.09999999999999998
17,"[(-1, -1, -1, 0), (0, -1, -1, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.49999999999999994,0.0,0.6,0.0
18,"[(-1, -1, -1, 0), (0, -1, -1, 0)]",0,2,7,0.636363636363636,0_2,0.45454545454545403,0.45454545454545403,0.0,0.0,0.0,0.0
19,"[(-1, -1, -1, 0), (0, -1, -1, 1)]",0,1,9,0.5,0_1,0.0,0.0,0.16666666666666702,0.0,0.33333333333333304,0.0
20,"[(-1, -1, -1, 0), (0, -1, 0, -1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
21,"[(-1, -1, -1, 0), (0, -1, 0, 1)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.9,0.0,0.8
22,"[(-1, -1, -1, 0), (0, -1, 1, -1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.727272727272727,0.0,0.454545454545454,0.0
