,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
0,"[(-1, -1, -1, 0), (-1, -1, 0, -1)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.636363636363636,0.0,0.27272727272727204,0.0
1,"[(-1, -1, -1, 0), (-1, -1, 0, 0)]",1,2,12,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0
2,"[(-1, -1, -1, 0), (-1, -1, 0, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997
3,"[(-1, -1, -1, 0), (-1, -1, 1, 0)]",0,1,7,0.7,0_1,0.0,0.0,0.49999999999999994,0.0,0.6,0.0
4,"[(-1, -1, -1, 0), (-1, 0, -1, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.49999999999999994,0.0,0.6,0.0
5,"[(-1, -1, -1, 0), (-1, 0, -1, 0)]",0,2,6,0.545454545454545,0_2,0.4545454545454541,0.181818181818181,0.0,0.0,0.0,0.0
6,"[(-1, -1, -1, 0), (-1, 0, -1, 1)]",0,2,7,0.583333333333333,0_2,0.16666666666666602,0.583333333333333,0.0,0.0,0.0,0.0
7,"[(-1, -1, -1, 0), (-1, 0, 0, -1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.818181818181818,0.0,0.636363636363636,0.0
8,"[(-1, -1, -1, 0), (-1, 0, 0, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.5,0.0,0.3
9,"[(-1, -1, -1, 0), (-1, 0, 1, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0
10,"[(-1, -1, -1, 0), (-1, 0, 1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
11,"[(-1, -1, -1, 0), (-1, 0, 1, 1)]",0,1,7,0.538461538461538,0_1,0.0,0.0,0.384615384615384,0.0,0.23076923076923,0.0
12,"[(-1, -1, -1, 0), (-1, 1, -1, 0)]",0,2,7,0.636363636363636,0_2,0.36363636363636304,0.5454545454545451,0.0,0.0,0.0,0.0
13,"[(-1, -1, -1, 0), (-1, 1, 0, -1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271,0.0
14,"[(-1, -1, -1, 0), (-1, 1, 0, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.6,0.0,0.19999999999999996
15,"[(-1, -1, -1, 0), (-1, 1, 0, 1)]",1,2,11,0.846153846153846,1_2,0.0,0.0,0.0,0.846153846153846,0.0,0.6923076923076921
16,"[(-1, -1, -1, 0), (-1, 1, 1, 0)]",0,1,6,0.6,0_1,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997,0.0
17,"[(-1, -1, -1, 0), (0, -1, -1, -1)]",0,1,5,0.384615384615385,0_1,0.0,0.0,0.07692307692307704,0.0,0.07692307692307704,0.0
